time           Conversion     Mn         Mw         D
6.59516        5.04592e-05     371.452     959.685     2.5836     
9.08673        0.000100918     371.471     959.696     2.5835     
10.3358        0.000151378     371.49     959.81     2.58368     
13.1036        0.000201837     371.508     959.821     2.58358     
13.6948        0.000252296     371.527     959.935     2.58376     
14.6115        0.000302755     371.545     960.049     2.58394     
17.0201        0.000353214     371.564     960.06     2.58383     
19.6965        0.000403673     371.582     960.07     2.58373     
24.6357        0.000454133     371.601     960.08     2.58363     
25.8915        0.000504592     371.62     960.091     2.58353     
27.287         0.000555051     371.638     960.101     2.58343     
28.3887        0.00060551     371.657     960.216     2.58361     
28.5106        0.000655969     371.675     960.226     2.58351     
28.5606        0.000706428     371.694     960.236     2.58341     
42.7313        0.000756888     371.713     960.247     2.5833     
46.0331        0.000807347     371.731     960.257     2.5832     
47.4193        0.000857806     371.75     960.372     2.58338     
48.1654        0.000908265     371.768     960.486     2.58356     
49.9591        0.000958724     371.787     960.6      2.58374     
51.0085        0.00100918     371.806     960.715     2.58392     
52.7277        0.00105964     371.824     960.725     2.58382     
55.7151        0.0011101      371.843     960.84     2.58399     
59.8373        0.00116056     371.861     960.954     2.58417     
66.5596        0.00121102     371.88     960.964     2.58407     
70.5927        0.00126148     371.899     960.975     2.58397     
79.3796        0.00131194     371.917     960.985     2.58387     
81.0528        0.0013624      371.936     960.996     2.58377     
81.0979        0.00141286     371.955     961.006     2.58366     
91.1673        0.00146332     371.973     961.016     2.58356     
95.1704        0.00151378     371.992     961.131     2.58374     
95.5343        0.00156423     372.01     961.141     2.58364     
108.318        0.00161469     372.029     961.152     2.58354     
108.504        0.00166515     372.048     961.162     2.58344     
109.088        0.00171561     372.066     961.172     2.58334     
119.536        0.00176607     372.085     961.183     2.58323     
120.026        0.00181653     372.104     961.193     2.58313     
120.623        0.00186699     372.122     961.204     2.58303     
122.349        0.00191745     372.141     961.318     2.58321     
122.366        0.00196791     372.16     961.328     2.58311     
125.089        0.00201837     372.178     961.339     2.58301     
131.44         0.00206883     372.197     961.349     2.5829     
132.078        0.00211929     372.216     961.359     2.5828     
134.617        0.00216974     372.234     961.37     2.5827     
135.128        0.0022202      372.253     961.397     2.58265     
137.588        0.00227066     372.271     961.407     2.58254     
147.643        0.00232112     372.29     961.418     2.58244     
148.492        0.00237158     372.309     961.428     2.58234     
148.695        0.00242204     372.327     961.439     2.58224     
150.929        0.0024725      372.346     961.449     2.58214     
154.655        0.00252296     372.365     961.563     2.58232     
156.824        0.00257342     372.383     961.574     2.58221     
160.592        0.00262388     372.402     961.584     2.58211     
160.996        0.00267434     372.421     961.595     2.58201     
162.936        0.0027248      372.439     961.709     2.58219     
165.113        0.00277525     372.458     961.719     2.58209     
165.996        0.00282571     372.477     961.73     2.58199     
166.263        0.00287617     372.495     961.74     2.58188     
168.38         0.00292663     372.514     961.855     2.58206     
171.185        0.00297709     372.533     961.865     2.58196     
173.35         0.00302755     372.552     961.875     2.58186     
179.465        0.00307801     372.57     961.99     2.58204     
187.57         0.00312847     372.589     962        2.58193     
190.516        0.00317893     372.608     962.01     2.58183     
197.161        0.00322939     372.626     962.021     2.58173     
197.561        0.00327985     372.645     962.031     2.58163     
197.877        0.00333031     372.664     962.146     2.58181     
202.26         0.00338076     372.682     962.156     2.58171     
204.44         0.00343122     372.701     962.166     2.5816     
208.408        0.00348168     372.72     962.177     2.5815     
213.209        0.00353214     372.738     962.187     2.5814     
214.591        0.0035826      372.757     962.198     2.5813     
219.62         0.00363306     372.776     962.312     2.58148     
220.435        0.00368352     372.795     962.322     2.58137     
221.106        0.00373398     372.813     962.437     2.58155     
226.477        0.00378444     372.832     962.447     2.58145     
231.869        0.0038349      372.851     962.458     2.58135     
232.732        0.00388536     372.869     962.468     2.58125     
243.952        0.00393582     372.888     962.478     2.58115     
259.991        0.00398628     372.907     962.593     2.58132     
261.78         0.00403673     372.926     962.603     2.58122     
264.663        0.00408719     372.944     962.613     2.58112     
267.57         0.00413765     372.963     962.728     2.5813     
267.683        0.00418811     372.982     962.842     2.58147     
268.194        0.00423857     373        962.853     2.58137     
270.924        0.00428903     373.019     962.863     2.58127     
273.113        0.00433949     373.038     962.873     2.58117     
278.21         0.00438995     373.057     962.988     2.58134     
282.495        0.00444041     373.075     962.998     2.58124     
283.986        0.00449087     373.094     963.009     2.58114     
284.632        0.00454133     373.113     963.123     2.58132     
288.192        0.00459179     373.132     963.133     2.58122     
288.271        0.00464224     373.15     963.144     2.58111     
288.382        0.0046927      373.169     963.154     2.58101     
296.856        0.00474316     373.188     963.165     2.58091     
297.595        0.00479362     373.207     963.175     2.58081     
298.76         0.00484408     373.225     963.289     2.58099     
300.174        0.00489454     373.244     963.404     2.58116     
304.024        0.004945       373.263     963.414     2.58106     
305.19         0.00499546     373.282     963.425     2.58096     
305.541        0.00504592     373.3      963.435     2.58086     
306.738        0.00509638     373.319     963.445     2.58076     
307.508        0.00514684     373.338     963.456     2.58065     
315.711        0.0051973      373.357     963.466     2.58055     
317.644        0.00524775     373.375     963.651     2.58092     
319.024        0.00529821     373.394     963.662     2.58082     
319.934        0.00534867     373.413     963.672     2.58071     
320.756        0.00539913     373.432     963.682     2.58061     
323.627        0.00544959     373.45     963.693     2.58051     
325.388        0.00550005     373.469     963.703     2.58041     
329.93         0.00555051     373.488     963.713     2.58031     
330.15         0.00560097     373.507     963.724     2.5802     
330.719        0.00565143     373.526     963.734     2.5801     
331.392        0.00570189     373.544     963.745     2.58       
333.767        0.00575235     373.563     963.755     2.5799     
334.422        0.00580281     373.582     963.869     2.58007     
335.045        0.00585326     373.601     963.984     2.58025     
337.238        0.00590372     373.62     963.994     2.58015     
337.911        0.00595418     373.638     964.005     2.58005     
341.697        0.00600464     373.657     964.015     2.57995     
344.088        0.0060551      373.676     964.025     2.57984     
346.072        0.00610556     373.695     964.036     2.57974     
347.669        0.00615602     373.714     964.15     2.57992     
349.262        0.00620648     373.732     964.265     2.58009     
352.207        0.00625694     373.751     964.275     2.57999     
352.715        0.0063074      373.77     964.285     2.57989     
356.119        0.00635786     373.789     964.4      2.58007     
364.989        0.00640832     373.808     964.41     2.57996     
368.29         0.00645877     373.826     964.421     2.57986     
368.725        0.00650923     373.845     964.431     2.57976     
369.353        0.00655969     373.864     964.441     2.57966     
374.689        0.00661015     373.883     964.452     2.57956     
384.929        0.00666061     373.902     964.566     2.57973     
389.128        0.00671107     373.92     964.576     2.57963     
394.7          0.00676153     373.939     964.587     2.57953     
401.172        0.00681199     373.958     964.701     2.5797     
410.532        0.00686245     373.977     964.712     2.5796     
412.197        0.00691291     373.996     964.722     2.5795     
415.099        0.00696337     374.015     964.732     2.5794     
418.805        0.00701383     374.033     964.743     2.5793     
419.564        0.00706428     374.052     964.753     2.57919     
420.57         0.00711474     374.071     964.764     2.57909     
424.277        0.0071652      374.09     964.774     2.57899     
