time           Mn         Mw         D
214.705        2.00719     2.01075     1.00177
214.937        2.00716     2.0107     1.00176
215.042        2.00713     2.01065     1.00176
216.232        2.00709     2.0106     1.00175
216.505        2.00706     2.01055     1.00174
219.901        2.00703     2.0105     1.00173
226.172        2.00699     2.01045     1.00172
227.446        2.00696     2.0104     1.00172
227.681        2.00693     2.01036     1.00171
228.228        2.0069     2.01031     1.0017
229.996        2.00686     2.01026     1.00169
230.047        2.00683     2.01022     1.00169
233.455        2.0068     2.01017     1.00168
234.042        2.00677     2.01012     1.00167
234.503        2.00674     2.01008     1.00166
235.493        2.00671     2.01003     1.00166
236.402        2.00668     2.00999     1.00165
239.055        2.00665     2.00994     1.00164
239.286        2.00662     2.0099     1.00163
241.648        2.00659     2.00986     1.00163
245.894        2.00656     2.00981     1.00162
246.175        2.0131     2.01952     1.00319
247.098        2.01304     2.01944     1.00318
247.352        2.01299     2.01935     1.00316
248.158        2.01293     2.01927     1.00315
249.663        2.01288     2.01919     1.00314
249.725        2.01282     2.01911     1.00312
250.534        2.01277     2.01903     1.00311
250.759        2.01271     2.01895     1.0031
251.828        2.01266     2.01887     1.00309
252.123        2.01261     2.01879     1.00307
252.154        2.01255     2.01871     1.00306
254.318        2.0125     2.01863     1.00305
254.615        2.01245     2.01856     1.00304
256.609        2.0124     2.01848     1.00302
256.812        2.01235     2.0184     1.00301
257.245        2.0123     2.01833     1.003 
259.42         2.01224     2.01826     1.00299
260.552        2.0122     2.01818     1.00298
262.603        2.01215     2.01811     1.00296
265.21         2.0121     2.01804     1.00295
266.792        2.01205     2.01796     1.00294
266.886        2.012      2.01789     1.00293
269.695        2.01195     2.01782     1.00292
270.774        2.0119     2.01775     1.00291
271.172        2.01186     2.01768     1.00289
274.341        2.01181     2.01761     1.00288
276.339        2.01176     2.01754     1.00287
279.829        2.01172     2.01748     1.00286
280.294        2.01167     2.01741     1.00285
280.595        2.01163     2.01734     1.00284
280.798        2.01741     2.02589     1.0042
280.959        2.01734     2.02579     1.00419
281.158        2.01727     2.02569     1.00417
281.266        2.01721     2.02559     1.00416
281.735        2.01714     2.0255     1.00414
282.874        2.01708     2.0254     1.00413
283.033        2.01701     2.0253     1.00411
283.127        2.01695     2.02521     1.0041
284.603        2.01689     2.02512     1.00408
284.679        2.01682     2.02502     1.00407
284.968        2.01676     2.02493     1.00405
284.972        2.0167     2.02484     1.00404
287.442        2.01664     2.02475     1.00402
293.591        2.01657     2.02466     1.00401
296.276        2.01651     2.02457     1.00399
299.515        2.01645     2.02448     1.00398
299.563        2.01639     2.02439     1.00397
300.68         2.01633     2.0243     1.00395
301.337        2.01627     2.02422     1.00394
301.806        2.01622     2.02413     1.00392
301.997        2.02158     2.03203     1.00517
302.126        2.02151     2.03191     1.00515
302.268        2.02143     2.0318     1.00513
302.522        2.02135     2.03169     1.00511
303.43         2.02128     2.03158     1.0051
304.426        2.0212     2.03147     1.00508
307.253        2.02113     2.03136     1.00506
307.929        2.02105     2.03125     1.00505
309.07         2.02098     2.03114     1.00503
309.193        2.02091     2.03103     1.00501
309.577        2.02083     2.03093     1.005 
309.742        2.02076     2.03082     1.00498
310.166        2.02069     2.03072     1.00496
311.4          2.02062     2.03061     1.00495
311.599        2.02573     2.0381     1.00611
312.18         2.02564     2.03797     1.00609
312.714        2.02555     2.03785     1.00607
313.424        2.02547     2.03772     1.00605
313.557        2.02538     2.03759     1.00603
313.741        2.0253     2.03747     1.00601
313.807        2.02521     2.03734     1.00599
314.035        2.02513     2.03722     1.00597
315.127        2.02504     2.0371     1.00595
315.661        2.02496     2.03698     1.00593
315.706        2.02488     2.03686     1.00592
318.598        2.02479     2.03673     1.0059
319.976        2.02471     2.03662     1.00588
320.088        2.02463     2.0365     1.00586
320.24         2.02455     2.03638     1.00584
320.938        2.02447     2.03626     1.00582
322.91         2.02439     2.03614     1.00581
323.253        2.02431     2.03603     1.00579
324.355        2.02423     2.03591     1.00577
324.842        2.02415     2.0358     1.00575
326.915        2.02408     2.03569     1.00574
327.259        2.024      2.03557     1.00572
329.065        2.02392     2.03546     1.0057
329.856        2.02385     2.03535     1.00568
330.465        2.02377     2.03524     1.00567
331.117        2.0237     2.03513     1.00565
336.619        2.02362     2.03502     1.00563
336.901        2.02355     2.03491     1.00562
337.135        2.02347     2.0348     1.0056
337.231        2.0234     2.0347     1.00558
337.544        2.02333     2.03459     1.00557
339.997        2.02326     2.03448     1.00555
340.979        2.02318     2.03438     1.00553
347.106        2.02311     2.03427     1.00552
347.113        2.02304     2.03417     1.0055
347.484        2.02297     2.03407     1.00548
347.542        2.0229     2.03396     1.00547
347.641        2.02283     2.03386     1.00545
348.048        2.02276     2.03376     1.00544
348.45         2.02269     2.03366     1.00542
349.113        2.02262     2.03356     1.00541
350.807        2.02256     2.03346     1.00539
351.224        2.02249     2.03336     1.00537
352.47         2.02242     2.03326     1.00536
354.819        2.02235     2.03316     1.00534
354.844        2.02229     2.03306     1.00533
355.333        2.02222     2.03297     1.00531
355.54         2.02216     2.03287     1.0053
356.081        2.02209     2.03277     1.00528
358.603        2.02203     2.03268     1.00527
359.021        2.02196     2.03259     1.00525
361.802        2.0219     2.03249     1.00524
362.003        2.02183     2.0324     1.00522
362.11         2.02177     2.0323     1.00521
362.111        2.02171     2.03221     1.0052
365.121        2.02165     2.03212     1.00518
365.576        2.02158     2.03203     1.00517
366.363        2.02152     2.03194     1.00515
367.576        2.02146     2.03185     1.00514
369.308        2.0214     2.03176     1.00512
370.705        2.02134     2.03167     1.00511
370.902        2.02128     2.03158     1.0051
370.97         2.02122     2.03149     1.00508
372.709        2.02116     2.0314     1.00507
380.253        2.0211     2.03132     1.00506
381.132        2.02104     2.03123     1.00504
381.777        2.02098     2.03114     1.00503
382.19         2.02092     2.03106     1.00502
383.286        2.02086     2.03097     1.005 
385.208        2.0208     2.03089     1.00499
385.265        2.02075     2.0308     1.00498
386.834        2.02069     2.03072     1.00496
389.204        2.02063     2.03063     1.00495
390.504        2.02058     2.03055     1.00494
391.741        2.02052     2.03047     1.00492
392.047        2.02046     2.03038     1.00491
392.193        2.02041     2.0303     1.0049
394.241        2.02035     2.03022     1.00488
394.317        2.0203     2.03014     1.00487
394.338        2.02024     2.03006     1.00486
394.997        2.02019     2.02998     1.00485
396.167        2.02013     2.0299     1.00483
396.297        2.02008     2.02982     1.00482
397.099        2.02406     2.03567     1.00573
398.347        2.024      2.03557     1.00572
398.821        2.02796     2.04137     1.00661
399.85         2.02789     2.04126     1.00659
401.725        2.02781     2.04115     1.00658
401.831        2.02774     2.04104     1.00656
403.615        2.02767     2.04094     1.00654
404.337        2.03158     2.04663     1.00741
405.529        2.0315     2.04651     1.00739
406.844        2.03141     2.04639     1.00737
409.337        2.03133     2.04627     1.00736
410.672        2.03125     2.04615     1.00734
411.247        2.03117     2.04604     1.00732
413.111        2.03109     2.04592     1.0073
413.783        2.03101     2.0458     1.00728
419.32         2.03093     2.04569     1.00727
419.569        2.03085     2.04557     1.00725
420.642        2.03077     2.04545     1.00723
421.399        2.03069     2.04534     1.00721
421.534        2.03061     2.04523     1.0072
422.344        2.03053     2.04511     1.00718
424.172        2.03046     2.045      1.00716
424.711        2.03422     2.05047     1.00799
425.192        2.03797     2.0559     1.0088
425.409        2.03788     2.05576     1.00878
427.77         2.03778     2.05562     1.00876
428.147        2.03769     2.05549     1.00873
431.925        2.03759     2.05535     1.00871
431.971        2.0375     2.05521     1.00869
433.119        2.03741     2.05508     1.00867
434.153        2.03731     2.05495     1.00865
435.289        2.03722     2.05481     1.00863
436.061        2.03713     2.05468     1.00861
436.431        2.03704     2.05455     1.0086
436.614        2.03695     2.05441     1.00858
437.141        2.03686     2.05428     1.00856
437.771        2.03676     2.05415     1.00854
437.909        2.03667     2.05402     1.00852
439.156        2.03659     2.05389     1.0085
439.949        2.0365     2.05376     1.00848
440.086        2.03641     2.05364     1.00846
440.561        2.03632     2.05351     1.00844
441.506        2.03623     2.05338     1.00842
443.766        2.03614     2.05325     1.0084
446.672        2.03606     2.05313     1.00838
447.725        2.03597     2.053      1.00837
447.918        2.03589     2.05288     1.00835
448.038        2.0358     2.05275     1.00833
449.359        2.03571     2.05263     1.00831
451.712        2.03563     2.05251     1.00829
452.065        2.03555     2.05239     1.00827
453.739        2.03546     2.05226     1.00826
454.245        2.03538     2.05214     1.00824
454.653        2.03529     2.05202     1.00822
456.558        2.03521     2.0519     1.0082
456.732        2.03513     2.05178     1.00818
456.955        2.03505     2.05166     1.00817
457.009        2.03497     2.05155     1.00815
457.642        2.03488     2.05143     1.00813
459.784        2.0348     2.05131     1.00811
461.933        2.03472     2.05119     1.0081
464.753        2.03464     2.05108     1.00808
465.438        2.03456     2.05096     1.00806
468.245        2.03448     2.05085     1.00804
468.42         2.0344     2.05073     1.00803
469.092        2.03432     2.05062     1.00801
469.102        2.03425     2.05051     1.00799
469.565        2.03417     2.05039     1.00798
470.615        2.03409     2.05028     1.00796
470.733        2.03401     2.05017     1.00794
471.882        2.03394     2.05006     1.00793
472.071        2.03729     2.05491     1.00865
472.204        2.0372     2.05479     1.00863
476.434        2.04054     2.0596     1.00934
476.541        2.04045     2.05947     1.00932
478.805        2.04036     2.05934     1.0093
480.233        2.04027     2.05921     1.00928
480.771        2.04018     2.05908     1.00927
481.002        2.04009     2.05895     1.00925
482.62         2.04       2.05882     1.00923
486.317        2.03991     2.0587     1.00921
486.685        2.04319     2.06341     1.0099
487.107        2.04309     2.06328     1.00988
487.39         2.043      2.06314     1.00986
488.879        2.0429     2.063      1.00984
488.886        2.04281     2.06287     1.00982
489.962        2.04272     2.06273     1.0098
489.989        2.04262     2.0626     1.00978
490.843        2.04253     2.06247     1.00976
492.133        2.04244     2.06233     1.00974
493.328        2.04235     2.0622     1.00972
493.33         2.04225     2.06207     1.0097
493.348        2.04216     2.06194     1.00968
494.054        2.04207     2.06181     1.00966
494.518        2.04198     2.06168     1.00965
497.039        2.04189     2.06155     1.00963
497.07         2.0418     2.06142     1.00961
497.625        2.04171     2.06129     1.00959
501.254        2.04162     2.06116     1.00957
502.234        2.04153     2.06103     1.00955
502.792        2.04145     2.06091     1.00953
504.083        2.04136     2.06078     1.00951
507.941        2.04127     2.06065     1.0095
508.348        2.04118     2.06053     1.00948
509.109        2.0411     2.0604     1.00946
509.255        2.04101     2.06028     1.00944
511.274        2.04092     2.06015     1.00942
511.516        2.04084     2.06003     1.0094
513.889        2.04075     2.05991     1.00939
517.25         2.04067     2.05979     1.00937
517.382        2.04058     2.05966     1.00935
518.423        2.0405     2.05954     1.00933
518.985        2.04041     2.05942     1.00932
519.171        2.04033     2.0593     1.0093
520.97         2.04025     2.05918     1.00928
524.198        2.04016     2.05906     1.00926
527.475        2.04008     2.05894     1.00924
527.992        2.04       2.05882     1.00923
528.504        2.03992     2.05871     1.00921
529.126        2.03984     2.05859     1.00919
531.962        2.03976     2.05847     1.00918
532.829        2.03967     2.05835     1.00916
533.833        2.03959     2.05824     1.00914
534.074        2.03951     2.05812     1.00912
534.478        2.03943     2.05801     1.00911
537.792        2.03935     2.05789     1.00909
540.766        2.03927     2.05778     1.00907
542.092        2.0392     2.05766     1.00906
543.141        2.03912     2.05755     1.00904
544.038        2.03904     2.05744     1.00902
545.451        2.03896     2.05732     1.00901
547.267        2.03888     2.05721     1.00899
547.323        2.03881     2.0571     1.00897
547.664        2.03873     2.05699     1.00896
548.124        2.03865     2.05688     1.00894
548.73         2.03858     2.05677     1.00892
549.22         2.0385     2.05666     1.00891
549.394        2.03842     2.05655     1.00889
550.329        2.03835     2.05644     1.00888
551.957        2.03827     2.05633     1.00886
552.518        2.0382     2.05622     1.00884
553.419        2.03812     2.05612     1.00883
554.515        2.03805     2.05601     1.00881
556.6          2.03797     2.0559     1.0088
558.881        2.0379     2.05579     1.00878
559.083        2.03783     2.05569     1.00876
560.022        2.03775     2.05558     1.00875
560.295        2.03768     2.05548     1.00873
562.492        2.03761     2.05537     1.00872
569.574        2.04046     2.05949     1.00933
574.242        2.04038     2.05938     1.00931
578.663        2.04031     2.05927     1.00929
579.414        2.04023     2.05915     1.00928
579.486        2.04015     2.05904     1.00926
579.502        2.04008     2.05893     1.00924
582.452        2.04       2.05882     1.00923
584.275        2.03992     2.05871     1.00921
587.366        2.03985     2.0586     1.0092
588.919        2.03977     2.0585     1.00918
590.435        2.0397     2.05839     1.00916
591.306        2.03962     2.05828     1.00915
592.331        2.03955     2.05817     1.00913
592.407        2.03947     2.05806     1.00912
592.561        2.0394     2.05796     1.0091
593.543        2.04217     2.06196     1.00969
593.633        2.0421     2.06184     1.00967
603.05         2.04202     2.06173     1.00965
605.791        2.04194     2.06162     1.00964
607.038        2.04186     2.0615     1.00962
607.336        2.04178     2.06139     1.0096
607.552        2.04171     2.06128     1.00959
608.03         2.04163     2.06117     1.00957
609.79         2.04155     2.06106     1.00956
609.997        2.04147     2.06095     1.00954
610.107        2.0414     2.06084     1.00952
610.122        2.04132     2.06073     1.00951
610.72         2.04125     2.06062     1.00949
611.285        2.04117     2.06051     1.00947
