time           AA         BB         polymer 
128.683        0.0002     0.0001     0.0142
129.395        0.0002     0.0001     0.0143
131.41         0.0002     0.0001     0.0144
131.49         0.0002     0.0001     0.0145
136.792        0.0002     0.0001     0.0146
137.451        0.0002     0.0001     0.0147
138.714        0.0002     0.0001     0.0148
143.802        0.0002     0.0001     0.0149
143.991        0.0002     0.0001     0.015 
144.141        0.0002     0.0001     0.0151
145.764        0.0002     0.0001     0.0152
146.98         0.0002     0.0001     0.0153
147.318        0.0002     0.0001     0.0154
149.027        0.0002     0.0001     0.0155
152.463        0.0002     0.0001     0.0156
152.765        0.0002     0.0001     0.0157
153.306        0.0002     0.0001     0.0158
155.812        0.0002     0.0001     0.0159
156.014        0.0002     0.0001     0.016 
156.201        0.0002     0.0001     0.0161
156.68         0.0002     0.0001     0.0162
156.79         0.0002     0.0001     0.0163
157.507        0.0002     0.0001     0.0164
157.758        0.0002     0.0001     0.0165
158.462        0.0002     0.0001     0.0166
159.085        0.0002     0.0001     0.0167
160.007        0.0002     0.0001     0.0168
160.715        0.0002     0.0001     0.0169
162.975        0.0002     0.0001     0.017 
163.168        0.0002     0.0001     0.0171
163.605        0.0002     0.0001     0.0172
163.785        0.0002     0.0001     0.0173
164.495        0.0002     0.0001     0.0174
164.756        0.0002     0.0001     0.0175
167.055        0.0002     0.0001     0.0176
167.085        0.0002     0.0001     0.0177
168.071        0.0002     0.0001     0.0178
168.193        0.0002     0.0001     0.0179
169.844        0.0002     0.0001     0.018 
169.929        0.0002     0.0001     0.0181
173.851        0.0002     0.0001     0.0182
175.735        0.0002     0.0001     0.0183
178.728        0.0002     0.0001     0.0184
180.141        0.0002     0.0001     0.0185
181.3          0.0002     0.0001     0.0186
181.603        0.0002     0.0001     0.0187
182.851        0.0002     0.0001     0.0188
184.455        0.0002     0.0001     0.0189
185.095        0.0002     0.0001     0.019 
185.184        0.0002     0.0001     0.0191
185.466        0.0002     0.0001     0.0192
185.661        0.0002     0.0001     0.0192
188.077        0.0002     0.0001     0.0192
188.5          0.0002     0.0001     0.0193
189.574        0.0002     0.0001     0.0194
189.789        0.0002     0.0001     0.0195
190.034        0.0002     0.0001     0.0196
190.709        0.0002     0.0001     0.0197
190.741        0.0002     0.0001     0.0198
191.944        0.0002     0.0001     0.0199
191.983        0.0002     0.0001     0.02  
193.251        0.0002     0.0001     0.0201
194.121        0.0002     0.0001     0.0202
194.489        0.0002     0.0001     0.0203
195.13         0.0002     0.0001     0.0204
195.726        0.0002     0.0001     0.0205
196.22         0.0002     0.0001     0.0206
196.688        0.0002     0.0001     0.0207
196.784        0.0002     0.0001     0.0208
197.121        0.0002     0.0001     0.0209
197.27         0.0002     0.0001     0.021 
199.106        0.0002     0.0001     0.0211
200.079        0.0002     0.0001     0.0212
200.89         0.0002     0.0001     0.0213
201.564        0.0002     0.0001     0.0214
201.655        0.0002     0.0001     0.0215
202.159        0.0002     0.0001     0.0216
202.933        0.0002     0.0001     0.0217
204.201        0.0002     0.0001     0.0218
205.131        0.0002     0.0001     0.0219
206.936        0.0002     0.0001     0.022 
211.824        0.0002     0.0001     0.0221
212.248        0.0002     0.0001     0.0222
213.23         0.0002     0.0001     0.0223
213.263        0.0002     0.0001     0.0224
213.617        0.0002     0.0001     0.0225
213.682        0.0002     0.0001     0.0226
213.736        0.0002     0.0001     0.0227
213.932        0.0002     0.0001     0.0228
214.905        0.0002     0.0001     0.0229
215.577        0.0002     0.0001     0.023 
216.977        0.0002     0.0001     0.0231
217.381        0.0002     0.0001     0.0232
217.965        0.0002     0.0001     0.0233
217.976        0.0002     0.0001     0.0234
220.47         0.0002     0.0001     0.0235
221.612        0.0002     0.0001     0.0236
222.813        0.0002     0.0001     0.0237
222.948        0.0002     0.0001     0.0238
224.617        0.0002     0.0001     0.0239
225.16         0.0002     0.0001     0.024 
227.043        0.0002     0.0001     0.0241
229.08         0.0002     0.0001     0.0242
231.937        0.0002     0.0001     0.0243
232.502        0.0002     0.0001     0.0244
232.692        0.0002     0.0001     0.0245
234.198        0.0002     0.0001     0.0246
235.387        0.0002     0.0001     0.0247
236.437        0.0002     0.0001     0.0248
236.517        0.0002     0.0001     0.0249
237.529        0.0002     0.0001     0.025 
239.178        0.0002     0.0001     0.0251
239.373        0.0002     0.0001     0.0252
241.032        0.0002     0.0001     0.0253
242.245        0.0002     0.0001     0.0254
242.616        0.0002     0.0001     0.0255
243.86         0.0002     0.0001     0.0256
245.079        0.0002     0.0001     0.0257
245.604        0.0002     0.0001     0.0258
246.731        0.0002     0.0001     0.0259
247.399        0.0002     0.0001     0.026 
247.74         0.0002     0.0001     0.0261
250.277        0.0002     0.0001     0.0262
250.341        0.0002     0.0001     0.0263
251.051        0.0002     0.0001     0.0264
251.494        0.0002     0.0001     0.0265
252.173        0.0002     0.0001     0.0266
252.288        0.0002     0.0001     0.0267
253.321        0.0002     0.0001     0.0268
253.869        0.0002     0.0001     0.0269
255.062        0.0002     0.0001     0.027 
255.715        0.0002     0.0001     0.0271
255.774        0.0002     0.0001     0.0272
257.091        0.0002     0.0001     0.0273
257.137        0.0002     0.0001     0.0274
258.206        0.0002     0.0001     0.0275
258.626        0.0002     0.0001     0.0276
259.068        0.0002     0.0001     0.0277
261.915        0.0002     0.0001     0.0278
262.235        0.0002     0.0001     0.0279
263.493        0.0002     0.0001     0.028 
264.764        0.0002     0.0001     0.0281
265.851        0.0002     0.0001     0.0282
266.099        0.0002     0.0001     0.0283
266.748        0.0002     0.0001     0.0284
267.275        0.0002     0.0001     0.0285
268.479        0.0002     0.0001     0.0286
269.517        0.0002     0.0001     0.0287
272.07         0.0002     0.0001     0.0288
276.32         0.0002     0.0001     0.0289
277.918        0.0002     0.0001     0.029 
278.749        0.0002     0.0001     0.0291
279.255        0.0002     0.0001     0.0292
279.736        0.0002     0.0001     0.0293
282.085        0.0002     0.0001     0.0294
284.152        0.0002     0.0001     0.0295
284.63         0.0002     0.0001     0.0296
285.057        0.0002     0.0001     0.0297
287.739        0.0002     0.0001     0.0298
289.535        0.0002     0.0001     0.0299
296.292        0.0002     0.0001     0.03  
297.355        0.0002     0.0001     0.0301
298.237        0.0002     0.0001     0.0302
298.291        0.0002     0.0001     0.0303
300.778        0.0002     0.0001     0.0304
301.36         0.0002     0.0001     0.0305
302.348        0.0002     0.0001     0.0306
306.266        0.0002     0.0001     0.0307
307.857        0.0002     0.0001     0.0308
308.148        0.0002     0.0001     0.0309
308.823        0.0002     0.0001     0.031 
309.982        0.0002     0.0001     0.0311
310.552        0.0002     0.0001     0.0312
310.615        0.0002     0.0001     0.0313
313.178        0.0002     0.0001     0.0314
316.26         0.0002     0.0001     0.0315
316.421        0.0002     0.0001     0.0316
316.466        0.0002     0.0001     0.0317
317.037        0.0002     0.0001     0.0318
317.873        0.0002     0.0001     0.0319
319.663        0.0002     0.0001     0.032 
319.984        0.0002     0.0001     0.0321
