time           Conversion     Mn         Mw         D
4.34411        5e-05          1.00005     1.0001     1.000050.945066       39998 
5.16959        0.0001         1.0001     1.0002     1.00010.944971       39996 
5.55415        0.00015        1.00015     1.0003     1.000150.944877       39994 
5.57115        0.0002         1.0002     1.0004     1.00020.944782       39992 
5.79765        0.00025        1.00025     1.0005     1.000250.944688       39990 
6.03643        0.0003         1.0003     1.0006     1.00030.944594       39988 
6.17253        0.00035        1.00035     1.0007     1.000350.944499       39986 
8.8043         0.0004         1.0004     1.0008     1.00040.944405       39984 
9.01044        0.00045        1.00045     1.0009     1.000450.94431        39982 
11.1528        0.0005         1.0005     1.001      1.00050.944216       39980 
12.5354        0.00055        1.00055     1.0011     1.000550.944121       39978 
13.1223        0.0006         1.0006     1.0012     1.00060.944027       39976 
14.3533        0.00065        1.00065     1.0013     1.000650.943932       39974 
15.9253        0.0007         1.0007     1.0014     1.00070.943838       39972 
16.414         0.00075        1.00075     1.0015     1.000750.943743       39970 
16.7169        0.0008         1.0008     1.0016     1.00080.943649       39968 
19.1663        0.00085        1.00085     1.0017     1.000850.943554       39966 
19.3547        0.0009         1.0009     1.0018     1.00090.94346        39964 
19.882         0.00095        1.00095     1.0019     1.000950.943366       39962 
21.3507        0.001          1.001      1.002      1.001 0.943271       39960 
22.9028        0.00105        1.00105     1.0021     1.001050.943177       39958 
25.0708        0.0011         1.0011     1.0022     1.00110.943082       39956 
25.4581        0.00115        1.00115     1.0023     1.001150.942988       39954 
26.3005        0.0012         1.0012     1.0024     1.00120.942894       39952 
26.4495        0.00125        1.00125     1.0025     1.001250.942799       39950 
26.7397        0.0013         1.0013     1.0026     1.00130.942705       39948 
26.8338        0.00135        1.00135     1.0027     1.001350.94261        39946 
27.8194        0.0014         1.0014     1.0028     1.00140.942516       39944 
29.4263        0.00145        1.00145     1.0029     1.001450.942422       39942 
31.7475        0.0015         1.0015     1.003      1.00150.942327       39940 
33.1023        0.00155        1.00155     1.0031     1.001550.942233       39938 
33.1327        0.0016         1.0016     1.0032     1.001590.942139       39936 
33.7855        0.00165        1.00165     1.0033     1.001640.942044       39934 
33.9158        0.0017         1.0017     1.0034     1.001690.94195        39932 
33.9487        0.00175        1.00175     1.0035     1.001740.941856       39930 
34.1102        0.0018         1.0018     1.0036     1.001790.941761       39928 
34.446         0.00185        1.00185     1.0037     1.001840.941667       39926 
34.6136        0.0019         1.0019     1.0038     1.001890.941572       39924 
35.3712        0.00195        1.00195     1.0039     1.001940.941478       39922 
35.7657        0.002          1.002      1.004      1.001990.941384       39920 
36.1827        0.00205        1.00205     1.0041     1.002040.94129        39918 
39.3429        0.0021         1.0021     1.0042     1.002090.941195       39916 
40.808         0.00215        1.00215     1.0043     1.002140.941101       39914 
40.8552        0.0022         1.0022     1.0044     1.002190.941007       39912 
40.9143        0.00225        1.00226     1.0045     1.002240.940912       39910 
43.7422        0.0023         1.00231     1.0046     1.002290.940818       39908 
47.6472        0.00235        1.00236     1.0047     1.002340.940724       39906 
47.6767        0.0024         1.00241     1.0048     1.002390.940629       39904 
48.4134        0.00245        1.00246     1.0049     1.002440.940535       39902 
49.2171        0.0025         1.00251     1.005      1.002490.940441       39900 
50.3612        0.00255        1.00256     1.0051     1.002540.940347       39898 
50.4909        0.0026         1.00261     1.0052     1.002590.940252       39896 
51.0702        0.00265        1.00266     1.0053     1.002640.940158       39894 
51.0948        0.0027         1.00271     1.0054     1.002690.940064       39892 
51.5101        0.00275        1.00276     1.0055     1.002730.93997        39890 
57.6498        0.0028         1.00281     1.0056     1.002780.939875       39888 
58.941         0.00285        1.00286     1.0057     1.002830.939781       39886 
59.0983        0.0029         1.00291     1.0058     1.002880.939687       39884 
59.4595        0.00295        1.00296     1.0059     1.002930.939593       39882 
60.0582        0.003          1.00301     1.006      1.002980.939498       39880 
62.0036        0.00305        1.00306     1.0061     1.003030.939404       39878 
63.7973        0.0031         1.00311     1.0062     1.003080.93931        39876 
63.9753        0.00315        1.00316     1.0063     1.003130.939216       39874 
64.6271        0.0032         1.00321     1.0064     1.003180.939121       39872 
66.527         0.00325        1.00326     1.0065     1.003230.939027       39870 
67.254         0.0033         1.00331     1.0066     1.003280.938933       39868 
68.7602        0.00335        1.00336     1.0067     1.003330.938839       39866 
69.7343        0.0034         1.00341     1.0068     1.003380.938745       39864 
71.3737        0.00345        1.00346     1.0069     1.003430.93865        39862 
71.6523        0.0035         1.00351     1.007      1.003480.938556       39860 
72.4362        0.00355        1.00356     1.0071     1.003520.938462       39858 
72.9923        0.0036         1.00361     1.0072     1.003570.938368       39856 
73.5071        0.00365        1.00366     1.0073     1.003620.938274       39854 
73.5186        0.0037         1.00371     1.0074     1.003670.93818        39852 
75.1164        0.00375        1.00376     1.0075     1.003720.938085       39850 
76.3884        0.0038         1.00381     1.0076     1.003770.937991       39848 
79.6047        0.00385        1.00386     1.0077     1.003820.937897       39846 
81.8481        0.0039         1.00392     1.0078     1.003870.937803       39844 
82.6715        0.00395        1.00397     1.0079     1.003920.937709       39842 
83.2397        0.004          1.00402     1.008      1.003970.937615       39840 
83.8922        0.00405        1.00407     1.0081     1.004020.937521       39838 
84.2538        0.0041         1.00412     1.0082     1.004070.937426       39836 
85.4128        0.00415        1.00417     1.0083     1.004120.937332       39834 
85.4791        0.0042         1.00422     1.0084     1.004160.937238       39832 
85.8758        0.00425        1.00427     1.0085     1.004210.937144       39830 
87.7951        0.0043         1.00432     1.0086     1.004260.93705        39828 
89.1764        0.00435        1.00437     1.0087     1.004310.936956       39826 
89.8339        0.0044         1.00442     1.0088     1.004360.936862       39824 
92.4206        0.00445        1.00447     1.0089     1.004410.936768       39822 
92.7055        0.0045         1.00452     1.009      1.004460.936674       39820 
92.9191        0.00455        1.00457     1.0091     1.004510.93658        39818 
93.0814        0.0046         1.00462     1.0092     1.004560.936485       39816 
94.4164        0.00465        1.00467     1.0093     1.004610.936391       39814 
94.77          0.0047         1.00472     1.0094     1.004660.936297       39812 
95.7541        0.00475        1.00477     1.0095     1.00470.936203       39810 
95.8645        0.0048         1.00482     1.0096     1.004750.936109       39808 
95.9768        0.00485        1.00487     1.0097     1.00480.936015       39806 
95.9966        0.0049         1.00492     1.0098     1.004850.935921       39804 
96.4894        0.00495        1.00497     1.0099     1.00490.935827       39802 
96.5985        0.005          1.00503     1.01       1.004950.935733       39800 
96.8896        0.00505        1.00508     1.0101     1.005 0.935639       39798 
97.1734        0.0051         1.00513     1.0102     1.005050.935545       39796 
97.2717        0.00515        1.00518     1.0103     1.00510.935451       39794 
97.3271        0.0052         1.00523     1.0104     1.005150.935357       39792 
99.4798        0.00525        1.00528     1.0105     1.005190.935263       39790 
101.035        0.0053         1.00533     1.0106     1.005240.935169       39788 
102.817        0.00535        1.00538     1.0107     1.005290.935075       39786 
102.863        0.0054         1.00543     1.0108     1.005340.934981       39784 
103.899        0.00545        1.00548     1.0109     1.005390.934887       39782 
104.032        0.0055         1.00553     1.011      1.005440.934793       39780 
107.631        0.00555        1.00558     1.0111     1.005490.934699       39778 
108.956        0.0056         1.00563     1.0112     1.005540.934605       39776 
109.684        0.00565        1.00568     1.0113     1.005590.934511       39774 
110.093        0.0057         1.00573     1.0114     1.005640.934417       39772 
113.792        0.00575        1.00578     1.0115     1.005680.934323       39770 
116.46         0.0058         1.00583     1.0116     1.005730.934229       39768 
116.824        0.00585        1.00588     1.0117     1.005780.934135       39766 
117.237        0.0059         1.00594     1.0118     1.005830.934041       39764 
118.034        0.00595        1.00599     1.0119     1.005880.933947       39762 
119.067        0.006          1.00604     1.012      1.005930.933853       39760 
119.143        0.00605        1.00609     1.0121     1.005980.933759       39758 
120.285        0.0061         1.00614     1.0122     1.006030.933665       39756 
121.227        0.00615        1.00619     1.0123     1.006070.933571       39754 
123.292        0.0062         1.00624     1.0124     1.006120.933477       39752 
123.392        0.00625        1.00629     1.0125     1.006170.933384       39750 
123.668        0.0063         1.00634     1.0126     1.006220.93329        39748 
123.926        0.00635        1.00639     1.0127     1.006270.933196       39746 
124.895        0.0064         1.00644     1.0128     1.006320.933102       39744 
125.415        0.00645        1.00649     1.0129     1.006370.933008       39742 
127.099        0.0065         1.00654     1.013      1.006420.932914       39740 
127.479        0.00655        1.00659     1.0131     1.006460.93282        39738 
128.697        0.0066         1.00664     1.0132     1.006510.932726       39736 
128.943        0.00665        1.00669     1.0133     1.006560.932632       39734 
129.193        0.0067         1.00675     1.0134     1.006610.932538       39732 
130.311        0.00675        1.0068     1.0135     1.006660.932445       39730 
131.539        0.0068         1.00685     1.0136     1.006710.932351       39728 
133.175        0.00685        1.0069     1.0137     1.006760.932257       39726 
134.843        0.0069         1.00695     1.0138     1.00680.932163       39724 
136.605        0.00695        1.007      1.0139     1.006850.932069       39722 
136.97         0.007          1.00705     1.014      1.00690.931975       39720 
137.781        0.00705        1.0071     1.0141     1.006950.931881       39718 
137.941        0.0071         1.00715     1.0142     1.007 0.931788       39716 
139.407        0.00715        1.0072     1.0143     1.007050.931694       39714 
140.812        0.0072         1.00725     1.0144     1.00710.9316         39712 
141.203        0.00725        1.0073     1.0145     1.007140.931506       39710 
141.266        0.0073         1.00735     1.0146     1.007190.931412       39708 
141.338        0.00735        1.0074     1.0147     1.007240.931318       39706 
141.488        0.0074         1.00746     1.0148     1.007290.931225       39704 
141.827        0.00745        1.00751     1.0149     1.007340.931131       39702 
142.162        0.0075         1.00756     1.015      1.007390.931037       39700 
142.237        0.00755        1.00761     1.0151     1.007440.930943       39698 
143.383        0.0076         1.00766     1.0152     1.007480.930849       39696 
144.343        0.00765        1.00771     1.0153     1.007530.930756       39694 
145.121        0.0077         1.00776     1.0154     1.007580.930662       39692 
145.799        0.00775        1.00781     1.0155     1.007630.930568       39690 
146.734        0.0078         1.00786     1.0156     1.007680.930474       39688 
147.085        0.00785        1.00791     1.0157     1.007730.93038        39686 
147.437        0.0079         1.00796     1.0158     1.007780.930287       39684 
149.257        0.00795        1.00801     1.0159     1.007820.930193       39682 
150.299        0.008          1.00806     1.016      1.007870.930099       39680 
150.547        0.00805        1.00812     1.0162     1.008020.930005       39678 
151.564        0.0081         1.00817     1.0163     1.008070.929912       39676 
151.618        0.00815        1.00822     1.0164     1.008120.929818       39674 
153.071        0.0082         1.00827     1.0165     1.008160.929724       39672 
153.868        0.00825        1.00832     1.0166     1.008210.92963        39670 
153.94         0.0083         1.00837     1.0167     1.008260.929537       39668 
157.04         0.00835        1.00842     1.0168     1.008310.929443       39666 
157.502        0.0084         1.00847     1.0169     1.008360.929349       39664 
157.565        0.00845        1.00852     1.017      1.008410.929256       39662 
158.542        0.0085         1.00857     1.0171     1.008450.929162       39660 
161.318        0.00855        1.00862     1.0172     1.00850.929068       39658 
162.245        0.0086         1.00867     1.0173     1.008550.928974       39656 
162.901        0.00865        1.00873     1.0174     1.00860.928881       39654 
163.609        0.0087         1.00878     1.0175     1.008650.928787       39652 
165.056        0.00875        1.00883     1.0176     1.00870.928693       39650 
165.587        0.0088         1.00888     1.0177     1.008740.9286         39648 
169.317        0.00885        1.00893     1.0178     1.008790.928506       39646 
169.434        0.0089         1.00898     1.0179     1.008840.928412       39644 
169.633        0.00895        1.00903     1.018      1.008890.928319       39642 
169.858        0.009          1.00908     1.0181     1.008940.928225       39640 
171.133        0.00905        1.00913     1.0182     1.008990.928131       39638 
172.641        0.0091         1.00918     1.0183     1.009030.928038       39636 
173.445        0.00915        1.00923     1.0184     1.009080.927944       39634 
175.859        0.0092         1.00929     1.0185     1.009130.92785        39632 
177.558        0.00925        1.00934     1.0186     1.009180.927757       39630 
177.804        0.0093         1.00939     1.0187     1.009230.927663       39628 
178.305        0.00935        1.00944     1.0188     1.009270.92757        39626 
180.217        0.0094         1.00949     1.0189     1.009320.927476       39624 
180.346        0.00945        1.00954     1.019      1.009370.927382       39622 
180.609        0.0095         1.00959     1.0191     1.009420.927289       39620 
181.049        0.00955        1.00964     1.0192     1.009470.927195       39618 
181.395        0.0096         1.00969     1.0193     1.009510.927101       39616 
181.761        0.00965        1.00974     1.0194     1.009560.927008       39614 
182.32         0.0097         1.0098     1.0195     1.009610.926914       39612 
182.471        0.00975        1.00985     1.0196     1.009660.926821       39610 
186.091        0.0098         1.0099     1.0197     1.009710.926727       39608 
186.759        0.00985        1.00995     1.0198     1.009750.926633       39606 
190.567        0.0099         1.01       1.0199     1.00980.92654        39604 
190.837        0.00995        1.01005     1.02       1.009850.926446       39602 
193.058        0.01           1.0101     1.0201     1.00990.926353       39600 
193.322        0.01005        1.01015     1.0202     1.009950.926259       39598 
193.422        0.0101         1.0102     1.0203     1.009990.926166       39596 
194.395        0.01015        1.01025     1.0204     1.010040.926072       39594 
195.932        0.0102         1.01031     1.0205     1.010090.925979       39592 
196.786        0.01025        1.01036     1.0206     1.010140.925885       39590 
198.976        0.0103         1.01041     1.0207     1.010190.925791       39588 
201.358        0.01035        1.01046     1.0208     1.010230.925698       39586 
201.895        0.0104         1.01051     1.0209     1.010280.925604       39584 
202.247        0.01045        1.01056     1.021      1.010330.925511       39582 
203.801        0.0105         1.01061     1.0211     1.010380.925417       39580 
206.081        0.01055        1.01066     1.0212     1.010430.925324       39578 
206.357        0.0106         1.01071     1.0213     1.010470.92523        39576 
206.418        0.01065        1.01076     1.0214     1.010520.925137       39574 
206.453        0.0107         1.01082     1.0215     1.010570.925043       39572 
206.921        0.01075        1.01087     1.0216     1.010620.92495        39570 
209.508        0.0108         1.01092     1.0217     1.010670.924856       39568 
209.631        0.01085        1.01097     1.0218     1.010710.924763       39566 
210.578        0.0109         1.01102     1.0219     1.010760.924669       39564 
210.836        0.01095        1.01107     1.022      1.010810.924576       39562 
211.831        0.011          1.01112     1.0221     1.010860.924482       39560 
212.187        0.01105        1.01117     1.0222     1.01090.924389       39558 
213.808        0.0111         1.01122     1.0223     1.010950.924295       39556 
214.116        0.01115        1.01128     1.0224     1.011 0.924202       39554 
214.29         0.0112         1.01133     1.0225     1.011050.924109       39552 
215.587        0.01125        1.01138     1.0226     1.01110.924015       39550 
216.356        0.0113         1.01143     1.0227     1.011140.923922       39548 
217.498        0.01135        1.01148     1.0228     1.011190.923828       39546 
218.313        0.0114         1.01153     1.0229     1.011240.923735       39544 
218.628        0.01145        1.01158     1.023      1.011290.923641       39542 
219.11         0.0115         1.01163     1.0231     1.011330.923548       39540 
219.745        0.01155        1.01168     1.0232     1.011380.923454       39538 
220.462        0.0116         1.01174     1.0233     1.011430.923361       39536 
221.824        0.01165        1.01179     1.0234     1.011480.923268       39534 
222.192        0.0117         1.01184     1.0235     1.011530.923174       39532 
224.409        0.01175        1.01189     1.0236     1.011570.923081       39530 
224.601        0.0118         1.01194     1.0237     1.011620.922987       39528 
226.514        0.01185        1.01199     1.0238     1.011670.922894       39526 
227.351        0.0119         1.01204     1.0239     1.011720.922801       39524 
227.38         0.01195        1.01209     1.024      1.011760.922707       39522 
227.403        0.012          1.01215     1.0241     1.011810.922614       39520 
229.667        0.01205        1.0122     1.0242     1.011860.92252        39518 
231.529        0.0121         1.01225     1.0243     1.011910.922427       39516 
231.962        0.01215        1.0123     1.0244     1.011950.922334       39514 
232.621        0.0122         1.01235     1.0245     1.012 0.92224        39512 
234.019        0.01225        1.0124     1.0246     1.012050.922147       39510 
234.266        0.0123         1.01245     1.0247     1.01210.922054       39508 
237.413        0.01235        1.0125     1.0248     1.012140.92196        39506 
238.996        0.0124         1.01256     1.0249     1.012190.921867       39504 
239.506        0.01245        1.01261     1.025      1.012240.921774       39502 
240.726        0.0125         1.01266     1.0252     1.012380.92168        39500 
241.104        0.01255        1.01271     1.0253     1.012430.921587       39498 
241.199        0.0126         1.01276     1.0254     1.012480.921494       39496 
242.705        0.01265        1.01281     1.0255     1.012530.9214         39494 
242.897        0.0127         1.01286     1.0256     1.012570.921307       39492 
246.147        0.01275        1.01291     1.0257     1.012620.921214       39490 
246.592        0.0128         1.01297     1.0259     1.012770.92112        39488 
247.165        0.01285        1.01302     1.026      1.012820.921027       39486 
247.925        0.0129         1.01307     1.0261     1.012860.920934       39484 
248.152        0.01295        1.01312     1.0262     1.012910.920841       39482 
248.372        0.013          1.01317     1.0263     1.012960.920747       39480 
248.968        0.01305        1.01322     1.0264     1.013010.920654       39478 
249.196        0.0131         1.01327     1.0265     1.013050.920561       39476 
250.042        0.01315        1.01333     1.0266     1.01310.920467       39474 
251.869        0.0132         1.01338     1.0267     1.013150.920374       39472 
254.886        0.01325        1.01343     1.0268     1.013190.920281       39470 
256.316        0.0133         1.01348     1.0269     1.013240.920188       39468 
261.281        0.01335        1.01353     1.027      1.013290.920094       39466 
262.371        0.0134         1.01358     1.0271     1.013340.920001       39464 
264.371        0.01345        1.01363     1.0272     1.013380.919908       39462 
265.008        0.0135         1.01368     1.0273     1.013430.919815       39460 
267.435        0.01355        1.01374     1.0274     1.013480.919721       39458 
267.904        0.0136         1.01379     1.0275     1.013530.919628       39456 
267.973        0.01365        1.01384     1.0276     1.013570.919535       39454 
268.324        0.0137         1.01389     1.0277     1.013620.919442       39452 
268.512        0.01375        1.01394     1.0278     1.013670.919349       39450 
268.681        0.0138         1.01399     1.0279     1.013710.919255       39448 
269.819        0.01385        1.01404     1.028      1.013760.919162       39446 
269.909        0.0139         1.0141     1.0281     1.013810.919069       39444 
270.469        0.01395        1.01415     1.0282     1.013860.918976       39442 
270.505        0.014          1.0142     1.0283     1.01390.918883       39440 
270.967        0.01405        1.01425     1.0284     1.013950.918789       39438 
271.723        0.0141         1.0143     1.0285     1.014 0.918696       39436 
273.158        0.01415        1.01435     1.0286     1.014050.918603       39434 
274.335        0.0142         1.0144     1.0287     1.014090.91851        39432 
274.435        0.01425        1.01446     1.0288     1.014140.918417       39430 
274.517        0.0143         1.01451     1.0289     1.014190.918324       39428 
276.085        0.01435        1.01456     1.029      1.014230.91823        39426 
276.719        0.0144         1.01461     1.0291     1.014280.918137       39424 
276.813        0.01445        1.01466     1.0292     1.014330.918044       39422 
277.039        0.0145         1.01471     1.0293     1.014380.917951       39420 
277.191        0.01455        1.01476     1.0294     1.014420.917858       39418 
279.733        0.0146         1.01482     1.0295     1.014470.917765       39416 
280.569        0.01465        1.01487     1.0296     1.014520.917672       39414 
281.081        0.0147         1.01492     1.0297     1.014560.917578       39412 
282.347        0.01475        1.01497     1.0298     1.014610.917485       39410 
283.705        0.0148         1.01502     1.0299     1.014660.917392       39408 
284.522        0.01485        1.01507     1.03       1.01470.917299       39406 
293.014        0.0149         1.01513     1.0301     1.014750.917206       39404 
293.612        0.01495        1.01518     1.0302     1.01480.917113       39402 
295.051        0.015          1.01523     1.0303     1.014850.91702        39400 
295.058        0.01505        1.01528     1.0304     1.014890.916927       39398 
296.537        0.0151         1.01533     1.0305     1.014940.916834       39396 
296.651        0.01515        1.01538     1.0306     1.014990.91674        39394 
297.239        0.0152         1.01543     1.0307     1.015030.916647       39392 
298.011        0.01525        1.01549     1.0308     1.015080.916554       39390 
298.441        0.0153         1.01554     1.0309     1.015130.916461       39388 
300.873        0.01535        1.01559     1.031      1.015170.916368       39386 
301.108        0.0154         1.01564     1.0311     1.015220.916275       39384 
301.495        0.01545        1.01569     1.0312     1.015270.916182       39382 
303.358        0.0155         1.01574     1.0313     1.015310.916089       39380 
304.575        0.01555        1.0158     1.0314     1.015360.915996       39378 
304.585        0.0156         1.01585     1.0315     1.015410.915903       39376 
304.803        0.01565        1.0159     1.0316     1.015460.91581        39374 
305.133        0.0157         1.01595     1.0317     1.01550.915717       39372 
306.969        0.01575        1.016      1.0318     1.015550.915624       39370 
309.101        0.0158         1.01605     1.0319     1.01560.915531       39368 
309.435        0.01585        1.01611     1.032      1.015640.915438       39366 
310.713        0.0159         1.01616     1.0321     1.015690.915345       39364 
310.816        0.01595        1.01621     1.0322     1.015740.915252       39362 
312.632        0.016          1.01626     1.0323     1.015780.915159       39360 
313.508        0.01605        1.01631     1.0324     1.015830.915066       39358 
314.214        0.0161         1.01636     1.0325     1.015880.914973       39356 
314.74         0.01615        1.01642     1.0326     1.015920.91488        39354 
317.21         0.0162         1.01647     1.0327     1.015970.914787       39352 
317.621        0.01625        1.01652     1.0328     1.016020.914694       39350 
320.19         0.0163         1.01657     1.0329     1.016060.914601       39348 
321.766        0.01635        1.01662     1.033      1.016110.914508       39346 
322.379        0.0164         1.01667     1.0331     1.016160.914415       39344 
322.394        0.01645        1.01673     1.0332     1.01620.914322       39342 
324.885        0.0165         1.01678     1.0333     1.016250.914229       39340 
325.113        0.01655        1.01683     1.0334     1.01630.914136       39338 
326.357        0.0166         1.01688     1.0335     1.016340.914043       39336 
327.153        0.01665        1.01693     1.0337     1.016490.91395        39334 
327.154        0.0167         1.01698     1.0339     1.016630.913857       39332 
327.636        0.01675        1.01704     1.034      1.016680.913764       39330 
327.792        0.0168         1.01709     1.0341     1.016730.913671       39328 
327.839        0.01685        1.01714     1.0342     1.016770.913579       39326 
329.769        0.0169         1.01719     1.0343     1.016820.913486       39324 
331.048        0.01695        1.01724     1.0344     1.016870.913393       39322 
336.127        0.017          1.01729     1.0345     1.016910.9133         39320 
337.134        0.01705        1.01735     1.0346     1.016960.913207       39318 
339.414        0.0171         1.0174     1.0347     1.017010.913114       39316 
341.302        0.01715        1.01745     1.0348     1.017050.913021       39314 
341.729        0.0172         1.0175     1.0349     1.01710.912928       39312 
342.048        0.01725        1.01755     1.035      1.017150.912835       39310 
344.219        0.0173         1.0176     1.0351     1.017190.912742       39308 
346.485        0.01735        1.01766     1.0352     1.017240.91265        39306 
346.947        0.0174         1.01771     1.0353     1.017290.912557       39304 
347.036        0.01745        1.01776     1.0355     1.017430.912464       39302 
347.199        0.0175         1.01781     1.0356     1.017480.912371       39300 
347.85         0.01755        1.01786     1.0357     1.017520.912278       39298 
349.329        0.0176         1.01792     1.0358     1.017570.912185       39296 
350.543        0.01765        1.01797     1.0359     1.017620.912092       39294 
350.916        0.0177         1.01802     1.036      1.017660.912          39292 
351.257        0.01775        1.01807     1.0361     1.017710.911907       39290 
351.64         0.0178         1.01812     1.0362     1.017760.911814       39288 
353.754        0.01785        1.01817     1.0364     1.01790.911721       39286 
353.986        0.0179         1.01823     1.0365     1.017950.911628       39284 
354.266        0.01795        1.01828     1.0366     1.017990.911535       39282 
355.718        0.018          1.01833     1.0367     1.018040.911443       39280 
355.892        0.01805        1.01838     1.0368     1.018090.91135        39278 
357.182        0.0181         1.01843     1.0369     1.018130.911257       39276 
357.759        0.01815        1.01849     1.037      1.018180.911164       39274 
361.031        0.0182         1.01854     1.0371     1.018220.911071       39272 
361.248        0.01825        1.01859     1.0372     1.018270.910979       39270 
362.468        0.0183         1.01864     1.0373     1.018320.910886       39268 
362.757        0.01835        1.01869     1.0374     1.018360.910793       39266 
364.082        0.0184         1.01874     1.0375     1.018410.9107         39264 
364.717        0.01845        1.0188     1.0376     1.018460.910608       39262 
366.248        0.0185         1.01885     1.0377     1.01850.910515       39260 
366.379        0.01855        1.0189     1.0378     1.018550.910422       39258 
367.104        0.0186         1.01895     1.0379     1.01860.910329       39256 
367.581        0.01865        1.019      1.038      1.018640.910236       39254 
367.738        0.0187         1.01906     1.0381     1.018690.910144       39252 
367.894        0.01875        1.01911     1.0382     1.018730.910051       39250 
368.354        0.0188         1.01916     1.0384     1.018880.909958       39248 
368.707        0.01885        1.01921     1.0385     1.018920.909866       39246 
369.682        0.0189         1.01926     1.0386     1.018970.909773       39244 
370.394        0.01895        1.01932     1.0387     1.019020.90968        39242 
370.661        0.019          1.01937     1.0388     1.019060.909587       39240 
372.239        0.01905        1.01942     1.0389     1.019110.909495       39238 
373            0.0191         1.01947     1.039      1.019160.909402       39236 
376.415        0.01915        1.01952     1.0391     1.01920.909309       39234 
377.755        0.0192         1.01958     1.0392     1.019250.909217       39232 
379.36         0.01925        1.01963     1.0393     1.019290.909124       39230 
381.458        0.0193         1.01968     1.0394     1.019340.909031       39228 
382.205        0.01935        1.01973     1.0395     1.019390.908938       39226 
382.909        0.0194         1.01978     1.0396     1.019430.908846       39224 
383.666        0.01945        1.01984     1.0397     1.019480.908753       39222 
384.115        0.0195         1.01989     1.0398     1.019520.90866        39220 
385.16         0.01955        1.01994     1.0399     1.019570.908568       39218 
385.819        0.0196         1.01999     1.04       1.019620.908475       39216 
386.005        0.01965        1.02004     1.0401     1.019660.908382       39214 
386.586        0.0197         1.0201     1.0402     1.019710.90829        39212 
387.244        0.01975        1.02015     1.0403     1.019750.908197       39210 
387.342        0.0198         1.0202     1.0404     1.01980.908105       39208 
387.726        0.01985        1.02025     1.0405     1.019850.908012       39206 
391.574        0.0199         1.0203     1.0406     1.019890.907919       39204 
392.281        0.01995        1.02036     1.0407     1.019940.907827       39202 
392.844        0.02           1.02041     1.0408     1.019980.907734       39200 
393.217        0.02005        1.02046     1.0409     1.020030.907641       39198 
394.137        0.0201         1.02051     1.041      1.020080.907549       39196 
394.85         0.02015        1.02056     1.0411     1.020120.907456       39194 
394.993        0.0202         1.02062     1.0412     1.020170.907364       39192 
395.952        0.02025        1.02067     1.0413     1.020210.907271       39190 
396.157        0.0203         1.02072     1.0414     1.020260.907178       39188 
397.73         0.02035        1.02077     1.0415     1.020310.907086       39186 
397.862        0.0204         1.02082     1.0416     1.020350.906993       39184 
400.379        0.02045        1.02088     1.0417     1.02040.906901       39182 
400.705        0.0205         1.02093     1.0419     1.020540.906808       39180 
400.887        0.02055        1.02098     1.0421     1.020680.906715       39178 
401.686        0.0206         1.02103     1.0422     1.020730.906623       39176 
402.083        0.02065        1.02109     1.0423     1.020780.90653        39174 
402.59         0.0207         1.02114     1.0424     1.020820.906438       39172 
403.018        0.02075        1.02119     1.0425     1.020870.906345       39170 
403.373        0.0208         1.02124     1.0426     1.020910.906253       39168 
405.089        0.02085        1.02129     1.0427     1.020960.90616        39166 
405.274        0.0209         1.02135     1.0428     1.021010.906068       39164 
405.955        0.02095        1.0214     1.0429     1.021050.905975       39162 
407.078        0.021          1.02145     1.043      1.02110.905883       39160 
409.918        0.02105        1.0215     1.0431     1.021140.90579        39158 
411.226        0.0211         1.02155     1.0432     1.021190.905697       39156 
411.475        0.02115        1.02161     1.0433     1.021230.905605       39154 
413.588        0.0212         1.02166     1.0434     1.021280.905512       39152 
414.501        0.02125        1.02171     1.0435     1.021330.90542        39150 
416.037        0.0213         1.02176     1.0436     1.021370.905327       39148 
417.333        0.02135        1.02182     1.0437     1.021420.905235       39146 
419.499        0.0214         1.02187     1.0438     1.021460.905142       39144 
421.536        0.02145        1.02192     1.0439     1.021510.90505        39142 
423.618        0.0215         1.02197     1.044      1.021550.904957       39140 
424.07         0.02155        1.02202     1.0441     1.02160.904865       39138 
424.273        0.0216         1.02208     1.0442     1.021650.904773       39136 
424.352        0.02165        1.02213     1.0443     1.021690.90468        39134 
428.62         0.0217         1.02218     1.0444     1.021740.904588       39132 
430.586        0.02175        1.02223     1.0445     1.021780.904495       39130 
430.715        0.0218         1.02229     1.0446     1.021830.904403       39128 
431.469        0.02185        1.02234     1.0447     1.021870.90431        39126 
433.069        0.0219         1.02239     1.0449     1.022020.904218       39124 
433.366        0.02195        1.02244     1.045      1.022060.904125       39122 
436.657        0.022          1.02249     1.0451     1.022110.904033       39120 
439.845        0.02205        1.02255     1.0452     1.022150.903941       39118 
441.388        0.0221         1.0226     1.0453     1.02220.903848       39116 
441.457        0.02215        1.02265     1.0454     1.022240.903756       39114 
444.566        0.0222         1.0227     1.0455     1.022290.903663       39112 
445.003        0.02225        1.02276     1.0456     1.022340.903571       39110 
446.598        0.0223         1.02281     1.0457     1.022380.903478       39108 
448.353        0.02235        1.02286     1.0458     1.022430.903386       39106 
449.291        0.0224         1.02291     1.0459     1.022470.903294       39104 
449.598        0.02245        1.02297     1.046      1.022520.903201       39102 
450.679        0.0225         1.02302     1.0461     1.022560.903109       39100 
